#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration	promotions
1000	0	956	44	1000	0	239	761	5.7446718433293554e-05	18.3	115.3	42
2000	0	1916	84	1000	0	254	746	5.7446718433293554e-05	18.8	114.5	32
3000	0	2871	129	1000	0	253	747	5.7446718433293554e-05	18.3	112.3	44
4000	0	3843	157	1000	0	395	605	5.594458044163164e-05	17.1	109.8	30
5000	0	4794	206	1000	0	373	627	5.594458044163164e-05	17.5	100.4	31
6000	0	5749	251	1000	0	381	619	5.594458044163164e-05	17.7	129.8	21
7000	0	6703	297	1000	0	399	601	5.594458044163164e-05	17.7	115.2	45
8000	0	7674	326	1000	0	415	585	5.594458044163164e-05	17.6	115.0	52
9000	0	8641	359	1000	0	324	676	5.459693104657368e-05	17.6	114.0	54
10000	0	9611	389	1000	0	302	698	5.459693104657368e-05	17.7	114.8	61
11000	0	10572	428	1000	0	375	625	4.089490922050154e-05	18.2	116.6	49
12000	0	11542	458	1000	0	399	601	4.089490922050154e-05	18.2	116.6	54
13000	0	12509	491	1000	0	379	621	4.089490922050154e-05	17.8	114.4	71
14000	0	13476	524	1000	0	388	612	4.089490922050154e-05	18.4	117.9	61
15000	0	14437	563	1000	0	386	614	4.089490922050154e-05	18.4	119.8	68
16000	0	15392	608	1000	0	403	597	4.089490922050154e-05	18.0	116.4	72
17000	0	16359	641	1000	0	382	618	4.089490922050154e-05	18.7	121.5	70
18000	0	17326	674	1000	0	367	633	4.089490922050154e-05	18.2	118.9	76
19000	0	18301	699	1000	0	407	593	4.089490922050154e-05	18.1	118.3	53
20000	0	19281	719	1000	0	366	634	3.002625175621451e-05	21.2	139.6	55
21000	0	20250	750	1000	0	409	591	3.002625175621451e-05	20.3	132.9	35
22000	0	21211	789	1000	0	372	628	3.002625175621451e-05	20.9	136.8	39
23000	0	22144	856	1000	0	386	614	3.002625175621451e-05	20.4	134.3	37
24000	0	23102	898	1000	0	355	645	3.002625175621451e-05	20.9	137.8	25
25000	0	24040	960	1000	0	347	653	3.002625175621451e-05	21.0	138.7	42
26000	0	24995	1005	1000	0	361	639	3.002625175621451e-05	20.9	138.4	39
27000	0	25945	1055	1000	0	85	915	2.7600324634932522e-05	19.4	127.1	25
28000	0	26923	1077	1000	0	88	912	2.7600324634932522e-05	19.2	126.8	36
29000	0	27878	1122	1000	0	86	914	2.7600324634932522e-05	19.1	125.5	33
30000	0	28847	1153	1000	0	81	919	2.7600324634932522e-05	18.8	123.7	41
31000	0	29815	1185	1000	0	99	901	2.7600324634932522e-05	19.4	127.8	49
32000	0	30779	1221	1000	0	0	1000	2.7565226521924707e-05	17.4	113.9	46
33000	0	31759	1241	1000	0	0	1000	2.7565226521924707e-05	17.7	114.1	39
34000	0	32723	1277	1000	0	0	1000	2.7565226521924707e-05	17.7	114.6	51
35000	0	33688	1312	1000	0	0	1000	2.7565226521924707e-05	17.3	112.2	30
36000	0	34656	1344	1000	0	0	1000	2.7565226521924707e-05	17.5	113.2	29
37000	0	35626	1374	1000	0	0	1000	2.7565226521924707e-05	17.3	112.6	33
38000	0	36602	1398	1000	0	0	1000	2.7565226521924707e-05	17.3	112.2	25
39000	0	37563	1437	1000	0	0	1000	2.7565226521924707e-05	17.5	114.1	34
40000	0	38522	1478	1000	0	0	1000	2.7565226521924707e-05	17.5	112.8	44
41000	0	39487	1513	1000	0	570	430	2.3804186794559175e-05	16.1	105.2	39
42000	0	40451	1549	1000	0	544	456	2.3804186794559175e-05	16.5	107.5	51
43000	0	41415	1585	1000	0	541	459	2.3804186794559175e-05	16.9	110.4	48
44000	0	42377	1623	1000	0	573	427	2.3804186794559175e-05	16.3	106.4	61
45000	0	43340	1660	1000	0	543	457	2.3804186794559175e-05	16.4	105.9	61
46000	0	44299	1701	1000	0	538	462	2.3804186794559175e-05	16.4	107.2	52
47000	0	45261	1739	1000	0	540	460	2.3804186794559175e-05	16.9	110.0	55
48000	0	46205	1795	1000	0	558	442	2.3804186794559175e-05	16.4	106.9	36
49000	0	47167	1833	1000	0	548	452	2.3804186794559175e-05	16.2	105.4	42
50000	0	48127	1873	1000	0	588	412	2.3804186794559175e-05	16.0	104.2	41
51000	0	49076	1924	1000	0	553	447	2.3804186794559175e-05	16.5	107.2	49
52000	0	50044	1956	1000	0	553	447	2.3804186794559175e-05	16.4	106.9	38
53000	0	51003	1997	1000	0	574	426	2.3804186794559175e-05	16.1	104.1	50
54000	0	51971	2029	1000	0	563	437	2.3804186794559175e-05	16.3	106.6	39
55000	0	52933	2067	1000	0	546	454	2.3804186794559175e-05	16.9	110.3	50
