#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration	promotions
56000	0	53889	2111	1000	0	554	446	2.3804186794559175e-05	16.0	103.9	32
57000	0	54850	2150	1000	0	567	433	2.3804186794559175e-05	16.6	108.1	43
58000	0	55803	2197	1000	0	531	469	2.3804186794559175e-05	16.8	109.3	48
59000	0	56751	2249	1000	0	570	430	2.3804186794559175e-05	16.0	104.1	44
60000	0	57693	2307	1000	0	542	458	2.3804186794559175e-05	16.3	106.6	47
61000	0	58655	2345	1000	0	373	627	2.1934069001069578e-05	18.0	115.8	56
62000	0	59616	2384	1000	0	432	568	2.1934069001069578e-05	16.9	109.1	46
63000	0	60587	2413	1000	0	414	586	2.1934069001069578e-05	17.0	108.8	56
64000	0	61562	2438	1000	0	417	583	2.1934069001069578e-05	17.2	111.3	47
65000	0	62533	2467	1000	0	426	574	2.1934069001069578e-05	17.4	112.3	50
66000	0	63498	2502	1000	0	414	586	2.1934069001069578e-05	17.5	112.6	51
67000	0	64462	2538	1000	0	393	607	2.1934069001069578e-05	17.4	115.2	36
68000	0	65421	2579	1000	0	404	596	2.1934069001069578e-05	17.6	114.0	47
69000	0	66404	2596	1000	0	397	603	2.1934069001069578e-05	17.5	112.5	50
70000	0	67377	2623	1000	0	435	565	2.1934069001069578e-05	17.2	110.9	48
71000	0	68358	2642	1000	0	405	595	2.1934069001069578e-05	17.8	114.3	48
72000	0	69334	2666	1000	0	414	586	2.1934069001069578e-05	17.7	114.2	53
73000	0	70317	2683	1000	0	381	619	2.1934069001069578e-05	17.5	113.8	58
74000	0	71285	2715	1000	0	407	593	2.1934069001069578e-05	17.6	113.1	51
75000	0	72263	2737	1000	0	416	584	2.1934069001069578e-05	17.2	110.1	53
76000	0	73235	2765	1000	0	407	593	2.1934069001069578e-05	17.4	112.4	56
77000	0	74202	2798	1000	0	427	573	2.1934069001069578e-05	17.2	110.1	51
78000	0	75170	2830	1000	0	406	594	2.1934069001069578e-05	17.4	112.1	58
79000	0	76134	2866	1000	0	411	589	2.1934069001069578e-05	17.0	110.3	44
80000	0	77104	2896	1000	0	360	640	2.1934069001069578e-05	17.4	111.8	59
81000	0	78070	2930	1000	0	408	592	2.1934069001069578e-05	17.7	114.0	48
82000	0	79019	2981	1000	0	258	742	2.16594544440386e-05	22.7	148.7	68
83000	0	79974	3026	1000	0	250	750	2.16594544440386e-05	22.2	144.4	67
84000	0	80925	3075	1000	0	241	759	2.16594544440386e-05	22.6	146.7	50
85000	0	81880	3120	1000	0	260	740	2.16594544440386e-05	22.3	144.9	49
86000	0	82837	3163	1000	0	232	768	2.16594544440386e-05	22.3	145.3	54
87000	0	83790	3210	1000	0	250	750	2.16594544440386e-05	22.8	148.6	69
88000	0	84741	3259	1000	0	234	766	2.16594544440386e-05	23.1	150.7	71
89000	0	85691	3309	1000	0	246	754	2.16594544440386e-05	22.8	148.5	48
90000	0	86640	3360	1000	0	258	742	2.16594544440386e-05	22.5	146.8	65
91000	0	87592	3408	1000	0	482	518	1.8995676010553905e-05	15.0	97.9	62
92000	0	88551	3449	1000	0	499	501	1.8995676010553905e-05	14.7	93.4	50
93000	0	89516	3484	1000	0	487	513	1.8995676010553905e-05	14.6	93.7	51
94000	0	90477	3523	1000	0	493	507	1.8995676010553905e-05	14.9	95.3	58
95000	0	91439	3561	1000	0	496	504	1.8995676010553905e-05	14.7	94.0	52
96000	0	92406	3594	1000	0	486	514	1.8995676010553905e-05	14.5	93.1	68
97000	0	93359	3641	1000	0	456	544	1.8847045264657644e-05	16.1	104.6	61
98000	0	94300	3700	1000	0	444	556	1.8847045264657644e-05	16.4	117.2	53
99000	0	95251	3749	1000	0	454	546	1.8847045264657644e-05	16.3	105.5	43
100000	0	96211	3789	1000	0	433	567	1.8847045264657644e-05	16.4	106.2	61
duration: 51358.5s
