#of-trainings	p1-training-won	p2-training-won	draw-training	#of-test-games	p1-test-won	p2-test-won	draw-test	best-loss	average-rounds-played	duration
73000	5	70024	2971	1000	0	820	180	0.00034155670283146807	7.7	44.5
74000	5	70983	3012	1000	0	883	117	0.00034155670283146807	6.7	38.6
75000	5	71952	3043	1000	0	871	129	0.00034155670283146807	7.2	41.8
76000	5	72908	3087	1000	0	924	76	0.00034155670283146807	4.6	26.1
77000	5	73883	3112	1000	0	912	88	0.00034155670283146807	5.0	28.6
78000	5	74841	3154	1000	0	871	129	0.00034155670283146807	6.1	34.4
79000	5	75808	3187	1000	0	883	117	0.00034155670283146807	6.3	36.4
80000	6	76762	3232	1000	0	959	41	0.00034155670283146807	5.9	34.1
81000	6	77719	3275	1000	0	827	173	0.00034155670283146807	7.9	47.2
82000	6	78669	3325	1000	0	882	118	0.00034155670283146807	6.8	41.2
83000	6	79618	3376	1000	0	834	166	0.00034155670283146807	7.5	44.4
84000	6	80575	3419	1000	0	965	35	0.00034155670283146807	6.0	34.9
85000	6	81530	3464	1000	0	928	72	0.00034155670283146807	6.2	35.8
86000	6	82487	3507	1000	0	913	87	0.00034155670283146807	6.6	39.1
87000	6	83438	3556	1000	0	968	32	0.00034155670283146807	5.4	32.0
88000	6	84389	3605	1000	0	936	64	0.00034155670283146807	6.0	36.3
89000	6	85354	3640	1000	0	926	74	0.00034155670283146807	6.1	37.4
90000	6	86329	3665	1000	0	862	138	0.00034155670283146807	6.9	41.2
91000	6	87279	3715	1000	0	923	77	0.00034155670283146807	5.8	35.0
92000	6	88221	3773	1000	0	947	53	0.00034155670283146807	5.8	35.4
93000	6	89176	3818	1000	0	897	103	0.00034155670283146807	5.1	30.3
94000	6	90150	3844	1000	0	891	109	0.00034155670283146807	6.8	42.5
95000	6	91098	3896	1000	0	865	135	0.00034155670283146807	7.4	44.4
96000	6	92060	3934	1000	0	894	106	0.00034155670283146807	6.0	37.2
97000	6	93014	3980	1000	0	913	87	0.00034155670283146807	6.4	39.1
98000	6	93973	4021	1000	0	884	116	0.00034155670283146807	7.0	44.8
99000	6	94938	4056	1000	0	964	36	0.00034155670283146807	5.7	39.5
100000	6	95903	4091	1000	0	933	67	0.00034155670283146807	6.2	39.5
duration: 16446.8s

